,count,mean,std,min,25%,50%,75%,max
gvkey,16007.0,60049.324358093334,66272.31987622796,1045.0,10036.0,25747.0,119316.0,347007.0
fyear,16007.0,2015.7342412694445,4.591193935062815,2004.0,2013.0,2016.0,2020.0,2022.0
at,16007.0,9060.499926344723,28285.173164429336,2.04,401.5535,1520.959,5672.3189999999995,551669.0
capx,16007.0,413.0511618666834,1710.6805153983896,0.0,9.0775,43.914,185.3415,34271.0
ceq,16002.0,3173.787065804275,10888.638625494246,-86154.0,154.65125,580.5165,1910.631,195049.0
csho,16007.0,207.35488986068594,558.368798316035,0.001,27.34,58.012,151.272,8070.0
dlc,16007.0,356.99797007559187,2053.3371279395074,0.0,0.6,11.88,92.66300000000001,63662.0
dltt,16007.0,2528.1729761354404,8298.313384196721,0.0,12.173,297.455,1605.5,175977.0
dp,16007.0,374.99909645779974,1464.0917948659796,-3.233,11.906500000000001,52.406,190.637,29218.0
dvp,16007.0,1.867227150621603,27.038447760458066,-79.704,0.0,0.0,0.0,1576.0
ib,16007.0,480.9631641781721,2200.830046649412,-43297.0,-2.4429999999999996,48.185,277.307,55740.0
invt,15868.0,663.8488675951601,2168.4240542119983,0.0,3.9385,78.8635,440.0,56511.0
ni,16007.0,489.5928093958893,2214.9876564103797,-38732.0,-2.2615,49.357,281.55899999999997,55740.0
ppegt,16007.0,5190.633364965327,22927.528336459076,1.03,111.2535,517.0,2282.4875,511400.0
ppent,16007.0,2743.3881992878114,11589.746587973175,0.01,49.1425,253.448,1140.051,259651.0
sale,16007.0,7346.849174236271,25452.761526544204,0.01,333.88,1343.135,4651.1855,569962.0
sstk,16007.0,66.80009901917911,351.8422517944021,-82.0,0.027,3.863,26.999499999999998,19840.0
prcc_f,16007.0,54.846768869307176,134.0607846888691,0.015,12.215,30.6,61.375,5908.87
sic,16007.0,4355.58418192041,2028.5151191324585,100.0,2836.0,3714.0,5651.0,9997.0
sic2,16007.0,43.16330355469482,20.17861501919091,10.0,28.0,37.0,56.0,99.0
CompanyID,16007.0,343769.7353033048,370065.78053395374,441.0,86244.0,161695.0,552744.0,3362653.0
Disagreement,16007.0,0.10684516521689719,0.0733068686918557,0.0053154903180085,0.044852974000000004,0.087730959,0.161115385,0.2370530788139999
